,time,solar,wind,load,forecast_load,forecast_wind,forecast_solar,other_generation,forecast_other_genration,inertia
0,2021-01-01 00:00:00,0.0,2385.0,43572.0,41660.0,2363.0,0.0,41187.0,39297.0,223.0
1,2021-01-01 01:00:00,0.0,2236.0,43081.0,41682.0,2345.0,0.0,40845.0,39337.0,219.0
2,2021-01-01 02:00:00,0.0,2165.0,42254.0,40807.0,2191.0,0.0,40089.0,38616.0,216.0
3,2021-01-01 03:00:00,0.0,2148.0,41758.0,40071.0,2102.0,0.0,39610.0,37969.0,216.0
4,2021-01-01 04:00:00,0.0,2133.0,41871.0,40110.0,2053.0,0.0,39738.0,38057.0,217.0
5,2021-01-01 05:00:00,0.0,2151.0,42401.0,40520.0,2018.0,0.0,40250.0,38502.0,218.0
6,2021-01-01 06:00:00,0.0,2079.0,43279.0,41120.0,1988.0,0.0,41200.0,39132.0,222.0
7,2021-01-01 07:00:00,0.0,1942.0,44045.0,41946.0,1943.0,0.0,42103.0,40003.0,225.0
8,2021-01-01 08:00:00,0.0,1912.0,44798.0,42789.0,1861.0,2.0,42886.0,40926.0,227.0
9,2021-01-01 09:00:00,2.0,1855.0,45673.0,43726.0,1777.0,8.0,43816.0,41941.0,230.0
10,2021-01-01 10:00:00,7.0,1704.0,46865.0,44885.0,1763.0,19.0,45154.0,43103.0,233.0
11,2021-01-01 11:00:00,13.0,1473.0,47709.0,45553.0,1638.0,23.0,46223.0,43892.0,236.0
12,2021-01-01 12:00:00,14.0,1251.0,48023.0,45717.0,1498.0,21.0,46758.0,44198.0,237.0
13,2021-01-01 13:00:00,11.0,1116.0,48227.0,45925.0,1405.0,16.0,47100.0,44504.0,239.0
14,2021-01-01 14:00:00,7.0,1068.0,48963.0,46625.0,1354.0,8.0,47888.0,45263.0,242.0
15,2021-01-01 15:00:00,1.0,1032.0,50026.0,47751.0,1380.0,1.0,48993.0,46370.0,244.0
16,2021-01-01 16:00:00,0.0,1121.0,50714.0,48796.0,1470.0,0.0,49593.0,47326.0,244.0
17,2021-01-01 17:00:00,0.0,1274.0,50855.0,49115.0,1535.0,0.0,49581.0,47580.0,244.0
18,2021-01-01 18:00:00,0.0,1149.0,50237.0,48577.0,1477.0,0.0,49088.0,47100.0,243.0
19,2021-01-01 19:00:00,0.0,1196.0,49122.0,47840.0,1588.0,0.0,47926.0,46252.0,240.0
20,2021-01-01 20:00:00,0.0,1189.0,47737.0,46681.0,1605.0,0.0,46548.0,45076.0,237.0
21,2021-01-01 21:00:00,0.0,1176.0,46961.0,46089.0,1680.0,0.0,45785.0,44409.0,235.0
22,2021-01-01 22:00:00,0.0,1196.0,45718.0,44880.0,1647.0,0.0,44522.0,43233.0,232.0
23,2021-01-01 23:00:00,0.0,1315.0,44742.0,43644.0,1911.0,0.0,43427.0,41733.0,228.0
24,2021-01-02 00:00:00,0.0,1316.0,43333.0,43824.0,1600.0,0.0,42017.0,42224.0,225.0
25,2021-01-02 01:00:00,0.0,1316.0,42632.0,43522.0,1682.0,0.0,41316.0,41840.0,222.0
26,2021-01-02 02:00:00,0.0,1225.0,42332.0,42823.0,1740.0,0.0,41107.0,41083.0,220.0
27,2021-01-02 03:00:00,0.0,1121.0,42207.0,42376.0,1588.0,0.0,41086.0,40788.0,220.0
28,2021-01-02 04:00:00,0.0,1128.0,42462.0,42529.0,1633.0,0.0,41334.0,40896.0,221.0
29,2021-01-02 05:00:00,0.0,1089.0,42946.0,43055.0,1547.0,0.0,41857.0,41508.0,223.0
30,2021-01-02 06:00:00,0.0,1012.0,43700.0,44464.0,1552.0,0.0,42688.0,42912.0,225.0
31,2021-01-02 07:00:00,0.0,990.0,45255.0,45768.0,1580.0,0.0,44265.0,44188.0,229.0
32,2021-01-02 08:00:00,0.0,1008.0,46362.0,47616.0,1406.0,2.0,45354.0,46208.0,232.0
33,2021-01-02 09:00:00,8.0,1023.0,47628.0,48512.0,1352.0,11.0,46597.0,47149.0,234.0
